#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#dataproduct_type, calib_level, obs_collection, obs_id, target_name, s_ra, s_dec, t_min, t_max, t_exptime, wavelength_region, filters, em_min, em_max, target_classification, obs_title, t_obs_release, instrument_name, proposal_pi, proposal_id, proposal_type, project, sequence_number, provenance_name, s_region, jpegURL, dataURL, dataRights, mtFlag, srcDen, intentType, obsid, objID, wave_min, wave_max, wave_region
#@string, int, string, string, string, ra, dec, float, float, float, string, string, float, float, string, string, float, string, string, string, string, string, int, string, string, string, string, string, string, float, string, string, string, float, float, string
dataproduct_type,calib_level,obs_collection,obs_id,target_name,s_ra,s_dec,t_min,t_max,t_exptime,wavelength_region,filters,em_min,em_max,target_classification,obs_title,t_obs_release,instrument_name,proposal_pi,proposal_id,proposal_type,project,sequence_number,provenance_name,s_region,jpegURL,dataURL,dataRights,mtFlag,srcDen,intentType,obsid,objID,wave_min,wave_max,wave_region
image,3,PS1,rings.v3.skycell.1449.020.stk.r,1449.020,151.484625463305,4.99645731924288,55247.3721443,56681.571683763,516,OPTICAL,r,538.599975585938,703.599975585938,,PS1 3PI Survey,57741.5416666,GPC1,,,3PI,PS1,-999,3PI,POLYGON ICRS   151.702831     4.779112  151.704451     5.212521  151.266246     5.213783  151.264974     4.780268,http://ps1images.stsci.edu/cgi-bin/fitscut.cgi?red=rings.v3.skycell/1449/020/rings.v3.skycell.1449.020.stk.r.unconv.fits,http://ps1images.stsci.edu/rings.v3.skycell/1449/020/rings.v3.skycell.1449.020.stk.r.unconv.fits,PUBLIC,,5885,science,2165307,42140638,538.599975585938,703.599975585938,OPTICAL
image,3,PS1,rings.v3.skycell.1360.058.stk.g,1360.058,150.599206247136,2.19937421417997,55191.5165272,56661.6047172852,1408,OPTICAL,g,394.299987792969,559.299987792969,,PS1 3PI Survey,57741.5416666,GPC1,,,3PI,PS1,-999,3PI,POLYGON ICRS   150.816057     1.982841  150.815744     2.416282  150.382298     2.415836  150.382726     1.982475,http://ps1images.stsci.edu/cgi-bin/fitscut.cgi?red=rings.v3.skycell/1360/058/rings.v3.skycell.1360.058.stk.g.unconv.fits,http://ps1images.stsci.edu/rings.v3.skycell/1360/058/rings.v3.skycell.1360.058.stk.g.unconv.fits,PUBLIC,,5885,science,2120996,42096327,394.299987792969,559.299987792969,OPTICAL
image,3,PS1,rings.v3.skycell.1451.029.stk.r,1451.029,155.930613036695,4.99645581906626,55247.3732762,56681.584836363,736,OPTICAL,r,538.599975585938,703.599975585938,,PS1 3PI Survey,57741.5416666,GPC1,,,3PI,PS1,-999,3PI,POLYGON ICRS   156.150264     4.780267  156.148992     5.213781  155.710788     5.212519  155.712408     4.779111,http://ps1images.stsci.edu/cgi-bin/fitscut.cgi?red=rings.v3.skycell/1451/029/rings.v3.skycell.1451.029.stk.r.unconv.fits,http://ps1images.stsci.edu/rings.v3.skycell/1451/029/rings.v3.skycell.1451.029.stk.r.unconv.fits,PUBLIC,,5885,science,2166352,42141683,538.599975585938,703.599975585938,OPTICAL
timeseries,3,TESS,tess2021310001228-s0045-0000000344950883-0216-s,344950883,151.690971745838,5.00745039014462,59525.0045599653,59550.1250955903,120,Optical,TESS,600,1000,,,59575,Photometer,"Ricker, George",G04139_G04214_G04039,,TESS,45,SPOC,CIRCLE 151.69097175 5.00745039 0.00138889,,mast:TESS/product/tess2021310001228-s0045-0000000344950883-0216-s_lc.fits,PUBLIC,False,NaN,science,71245675,137217094,600,1000,Optical
timeseries,3,TESS,tess2025042113628-s0089-0000000277673625-0286-s,277673625,153.103511117243,2.75527899980006,60717.642701088,60745.4523118866,120,Optical,TESS,600,1000,,,60761,Photometer,"Ricker, George",G07031,,TESS,89,SPOC,CIRCLE 153.10351112 2.755279 0.00138889,,mast:TESS/product/tess2025042113628-s0089-0000000277673625-0286-s_lc.fits,PUBLIC,False,NaN,science,252314802,747923462,600,1000,Optical
timeseries,3,TESS,tess2021336043614-s0046-0000000374209301-0217-s,374209301,158.37502108312,2.04258121874125,59551.0647325231,59578.2034294097,120,Optical,TESS,600,1000,,,59603,Photometer,"Ricker, George",G04214,,TESS,46,SPOC,CIRCLE 158.37502108 2.04258122 0.00138889,,mast:TESS/product/tess2021336043614-s0046-0000000374209301-0217-s_lc.fits,PUBLIC,False,NaN,science,71498075,142823375,600,1000,Optical
timeseries,3,TESS,tess2021233042500-s0042-s0046-0000000275254541,275254541,148.36833391609,2.05731854615632,59524.9992127199,59578.204177963,120,Optical,TESS,600,1000,,,59641,Photometer,"Ricker, George",G04184,,TESS,46,SPOC,CIRCLE 148.36833392 2.05731855 0.00138889,,mast:TESS/product/tess2021233042500-s0042-s0046-0000000275254541-00550_dvt.fits,PUBLIC,False,NaN,science,71744009,144631216,600,1000,Optical
timeseries,3,TESS,tess2021039152502-s0035-0000000277747947-0205-s,277747947,153.958645844604,4.12863200067237,59254.9063280787,59279.4841718171,120,Optical,TESS,600,1000,,,59312,Photometer,"Ricker, George",N/A,,TESS,35,SPOC,CIRCLE ICRS 153.95864584 4.12863200 0.00138889,,mast:TESS/product/tess2021039152502-s0035-0000000277747947-0205-s_lc.fits,PUBLIC,False,NaN,science,60680957,106821743,600,1000,Optical
image,3,PS1,rings.v3.skycell.1360.056.stk.g,1360.056,151.399522248709,2.19990998337249,55191.5165272,56661.6047172852,1478,OPTICAL,g,394.299987792969,559.299987792969,,PS1 3PI Survey,57741.5416666,GPC1,,,3PI,PS1,-999,3PI,POLYGON ICRS   151.616373     1.983219  151.616272     2.416744  151.182614     2.416552  151.182830     1.983062,http://ps1images.stsci.edu/cgi-bin/fitscut.cgi?red=rings.v3.skycell/1360/056/rings.v3.skycell.1360.056.stk.g.unconv.fits,http://ps1images.stsci.edu/rings.v3.skycell/1360/056/rings.v3.skycell.1360.056.stk.g.unconv.fits,PUBLIC,,5885,science,2120986,42096317,394.299987792969,559.299987792969,OPTICAL
timeseries,3,TESS,tess2023315124025-s0072-0000000345032207-0267-s,345032207,152.907448891547,2.2213894570181,60259.6807970139,60285.0832943056,120,Optical,TESS,600,1000,,,60297,Photometer,"Ricker, George",N/A,,TESS,72,SPOC,CIRCLE 152.90744889 2.22138946 0.00138889,,mast:TESS/product/tess2023315124025-s0072-0000000345032207-0267-s_lc.fits,PUBLIC,False,NaN,science,198796543,362249619,600,1000,Optical
